"","Census_date","Site","Transect_plot","Quad","Phenology","Xcoord","Ycoord","Stem_diam_mm","Height_cm","Num_total_branches","Longest_leaf_cm","Num_flowers","Num_fruits","Longest_fruit_cm","Num_repro_branches","Notes","Census_year","Year_marked","Entered_by","Date_entered","Collected_by","Tag","2018tag","2019tag","Band","Band_color","Band_num","Pick_color","Sword_color","Canopy_width_cm","Leaf_thickness_mm","Buds","Herbivory","Num_leaves","Category_herbivory","Stem_diam_mm_UFA"
"1",2017-07-26,"WL1","1","0","V",8,9,"<1","0.7",1,"0.3",NA,NA,NA,NA,"2 spring germ dead",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2",2017-07-26,"WL1","1","0.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2017-07-26,"WL1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2017-07-26,"WL1","1","1.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2017-07-26,"WL1","1","2","V",10,43,"<1","1.0",1,"0.5",NA,NA,NA,NA,"spring germ",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"6",2017-07-26,"WL1","1","2.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2017-07-26,"WL1","1","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2017-07-26,"WL1","1","3.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"spring germ & 2 fall germ dead",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2017-07-26,"WL1","1","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2017-07-26,"WL1","1","4.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"spring germ & 2 fall germ dead",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",2017-07-26,"WL1","1","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"spring germ dead",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2017-07-26,"WL1","1","5.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3 spring, 1 fall germ dead",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",2017-07-26,"WL1","1","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 fall dead",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",2017-07-26,"WL1","1","6.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 spring, 1 fall dead",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",2017-07-26,"WL1","1","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",2017-07-26,"WL1","1","7.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 fall dead",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",2017-07-26,"WL1","1","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3 spring dead",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",2017-07-26,"WL1","1","8.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 spring dead",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",2017-07-26,"WL1","1","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 spring, 1 fall dead",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",2017-07-26,"WL1","1","9.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",2017-07-26,"WL1","2","0","V",5,25,"~1","3.1",1,"0.9",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"22",2017-07-26,"WL1","2","0.5","V",25,38,"<1","1.6",1,"0.3",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"23",2017-07-26,"WL1","2","1","V",16,18,"<1","2.5",1,"1.0",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"24",2017-07-26,"WL1","2","1","V",33,39,"~1","2.9",1,"1.8",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
